"DATE","GDP","GDPGR","TSpread"
"1982-01-01",6474.973,-6.74767342926899,1.48
"1982-04-01",6510.247,2.17318377449516,1.51
"1982-07-01",6486.8,-1.44322170635789,3.8
"1982-10-01",6493.128,0.390017602646253,2.76
"1983-01-01",6578.175,5.2051857496977,2.45
"1983-04-01",6728.287,9.02529122697331,2.14
"1983-07-01",6860.022,7.75602776734488,2.49
"1983-10-01",7001.489,8.16487679632587,2.89
"1984-01-01",7140.597,7.86941823236447,2.77
"1984-04-01",7266.01,6.96436950786108,3.4
"1984-07-01",7337.493,3.91596843169495,2.55
"1984-10-01",7396.019,3.17786053096754,2.94
"1985-01-01",7469.545,3.95688180157947,3.4
"1985-04-01",7537.928,3.6453024849628,3.35
"1985-07-01",7655.196,6.17491590720505,3.23
"1985-10-01",7712.624,2.98953357436247,2.59
"1986-01-01",7784.109,3.69035238834527,1.66
"1986-04-01",7819.843,1.83205190417084,1.46
"1986-07-01",7898.555,4.0061414883624,1.79
"1986-10-01",7939.45,2.0656687952588,1.91
"1987-01-01",7994.965,2.78718608074442,1.65
"1987-04-01",8084.71,4.46506198100138,2.68
"1987-07-01",8158.035,3.6114830642525,2.84
"1987-10-01",8292.687,6.54828437154578,3.26
"1988-01-01",8339.324,2.2432463389535,2.7
"1988-04-01",8449.51,5.2505174369557,2.7
"1988-07-01",8498.282,2.30222955946573,2.09
"1988-10-01",8610.85,5.26360422480465,1.23
"1989-01-01",8697.711,4.01474064471188,0.670000000000002
"1989-04-01",8766.105,3.13307697103866,0.359999999999999
"1989-07-01",8831.544,2.97491109799424,0.27
"1989-10-01",8850.23,0.845435846257203,0.26
"1990-01-01",8947.129,4.35570052782595,0.66
"1990-04-01",8981.727,1.54379255191657,0.93
"1990-07-01",8983.945,0.0987661362742642,1.22
"1990-10-01",8907.363,-3.42434293626894,1.41
"1991-01-01",8865.564,-1.88147183929743,2
"1991-04-01",8934.366,3.09225227959118,2.57
"1991-07-01",8977.252,1.91545317465156,2.56
"1991-10-01",9016.444,1.74247967631018,2.81
"1992-01-01",9122.95,4.69727815392531,3.41
"1992-04-01",9223.545,4.38649488586336,3.7
"1992-07-01",9313.208,3.86966150069554,3.54
"1992-10-01",9406.528,3.98812346730679,3.67
"1993-01-01",9424.065,0.745043135714951,3.32
"1993-04-01",9480.106,2.37158938801656,3.02
"1993-07-01",9526.337,1.94591239089021,2.62
"1993-10-01",9653.509,5.30447903256075,2.55
"1994-01-01",9748.156,3.90266508799542,2.83
"1994-04-01",9881.384,5.42977760135201,3.09
"1994-07-01",9939.655,2.35189155825068,2.85
"1994-10-01",10052.518,4.51633542816055,2.56
"1995-01-01",10086.878,1.36488833482389,1.74
"1995-04-01",10122.122,1.39518177964391,1.02
"1995-07-01",10208.772,3.40961001155833,0.95
"1995-10-01",10281.246,2.82964328228488,0.63
"1996-01-01",10348.691,2.61543175006764,0.98
"1996-04-01",10529.379,6.9237247059462,1.7
"1996-07-01",10626.778,3.68307677564985,1.68
"1996-10-01",10739.057,4.20409625271532,1.36
"1997-01-01",10820.908,3.03716237908986,1.5
"1997-04-01",10984.15,5.9892544132687,1.65
"1997-07-01",11124.013,5.06111216629819,1.19
"1997-10-01",11210.329,3.09179217348401,0.82
"1998-01-01",11321.246,3.93822077598571,0.54
"1998-04-01",11431.046,3.8607399165322,0.619999999999999
"1998-07-01",11580.587,5.19886981039406,0.38
"1998-10-01",11770.686,6.51281665586225,0.42
"1999-01-01",11864.675,3.18131787158009,0.57
"1999-04-01",11962.524,3.28530600865875,1.09
"1999-07-01",12113.075,5.00267386548714,1.23
"1999-10-01",12323.336,6.88370118468242,1.1
"2000-01-01",12359.095,1.15901144480972,0.960000000000001
"2000-04-01",12592.53,7.48462068847573,0.47
"2000-07-01",12607.676,0.480821524197239,-0.13
"2000-10-01",12679.338,2.2671618514039,-0.449999999999999
"2001-01-01",12643.283,-1.13906137487305,0.23
"2001-04-01",12710.303,2.11473536262261,1.61
"2001-07-01",12670.106,-1.26702555847942,1.81
"2001-10-01",12705.269,1.10857151885924,2.86
"2002-01-01",12822.258,3.66631108555922,3.36
"2002-04-01",12893.002,2.20084660924371,3.39
"2002-07-01",12955.769,1.94259520859248,2.62
"2002-10-01",12964.016,0.25453915696616,2.68
"2003-01-01",13031.169,2.06663347475953,2.76
"2003-04-01",13152.089,3.69460086805589,2.58
"2003-07-01",13372.357,6.64362418237872,3.3
"2003-10-01",13528.71,4.64977127119397,3.37
"2004-01-01",13606.509,2.29367489313432,3.1
"2004-04-01",13706.247,2.92137324658484,3.52
"2004-07-01",13830.828,3.61931977076324,2.81
"2004-10-01",13950.376,3.44257903058391,2.16
"2005-01-01",14099.081,4.24126265834772,1.76
"2005-04-01",14172.695,2.08304328281486,1.3
"2005-07-01",14291.757,3.34628453426618,0.85
"2005-10-01",14373.438,2.2795929648403,0.66
"2006-01-01",14546.119,4.77692109290899,0.180000000000001
"2006-04-01",14589.585,1.19347813929167,0.37
"2006-07-01",14602.633,0.357574771986435,-0.00999999999999979
"2006-10-01",14716.93,3.11867073848404,-0.27
"2007-01-01",14726.022,0.247040454068781,-0.300000000000001
"2007-04-01",14838.664,3.04802953228389,0.109999999999999
"2007-07-01",14938.467,2.68134290628197,0.430000000000001
"2007-10-01",14991.784,1.42510148403332,0.87
"2008-01-01",14889.45,-2.73976369457642,1.62
"2008-04-01",14963.357,1.98057491870571,2.26
"2008-07-01",14891.643,-1.92166505924618,2.37
"2008-10-01",14576.985,-8.54250721894161,2.95
"2009-01-01",14375.018,-5.58083048659483,2.53
"2009-04-01",14355.558,-0.541861826254575,3.14
"2009-07-01",14402.477,1.30520855489777,3.36
"2009-10-01",14541.901,3.85360026386934,3.4
"2010-01-01",14604.845,1.72764665669192,3.61
"2010-04-01",14745.933,3.84559718901514,3.34
"2010-07-01",14845.458,2.69065757059295,2.63
