"DATE","F01","F02","F03","F04"
1959-07-01,-0.788698679780463,-2.91661054057566,-0.819666123799939,3.11542240159576
1959-10-01,-1.48497616923178,-4.18284213697923,-0.366030702572406,2.54131463502435
1960-01-01,7.41218523333781,0.343087910772481,-1.77978752554785,-0.466971449490133
1960-04-01,-1.08456973204992,-4.60862099420902,0.241878351262324,1.96311010519158
1960-07-01,-4.90731863708258,-2.19984971909699,0.0508862644377264,2.51815145429738
1960-10-01,-6.90131849363562,-2.07862313455495,0.382257062785239,3.42731234012813
1961-01-01,-5.33615304489382,-0.322015352421545,-0.572844356493471,4.70185462062709
1961-04-01,0.890008079438221,3.44972615717251,-1.6914184235525,2.04773947373807
1961-07-01,3.09378053181764,1.35696426846428,0.389637141841061,1.31338714989025
1961-10-01,5.43215957257778,1.37084178915729,-1.46131849397767,0.818517372057135
1962-01-01,3.75005502049316,-0.0180234035080891,-0.244523963667401,-0.553172037239803
1962-04-01,3.05628751178538,-2.05864223561657,-1.99758317944838,0.290200311717468
1962-07-01,0.58900853597462,-1.75951356743955,-0.322835283964241,1.99135162003404
1962-10-01,0.633443362670407,0.0899506160930953,-1.26823396386833,2.20262427039577
1963-01-01,-0.0841873299556698,-1.14647322243825,-0.158118476669672,2.02066743635551
1963-04-01,3.85843308957905,0.773230641511166,0.807131414840697,1.62397752900454
1963-07-01,2.96268623640462,-0.481258894611331,-0.578061772718941,3.08568040282762
1963-10-01,2.8589396141044,-2.61932059738213,0.188756695874359,1.56561721627263
1964-01-01,3.49733993815504,-0.921761485005038,-0.850467096593753,2.64776706218348
1964-04-01,3.37807460654851,-1.44926904391983,-1.32405257405226,0.914472976319963
1964-07-01,4.70796356222071,-0.717904170778073,-0.630788924815843,1.47451686255695
1964-10-01,2.62897412389853,-3.38055759268316,0.484847374692418,0.505676826175489
1965-01-01,5.96466439966854,-0.496340158788974,-0.673744590528504,0.402645795937635
1965-04-01,6.02217929460193,-2.86355387334095,0.884967860952303,0.712745770427894
1965-07-01,5.03221809360392,-2.16580004614947,-1.75762587663988,2.51092621862434
1965-10-01,6.61130611146565,-0.901407589553332,-0.54513081555869,2.26799147042707
1966-01-01,6.04483429802337,-2.29016261877684,0.501891429907004,-0.140021517148599
1966-04-01,3.92493276873324,-5.7365736655677,0.270249449577747,-0.120627680799222
1966-07-01,2.30590070550039,-6.22445369132876,0.309281315737994,-0.145500520619072
1966-10-01,0.908268607474556,-4.47769319396713,0.271110493998794,-0.157711844077828
1967-01-01,-1.36205252497272,-3.4445668186841,-1.15473959953307,5.13800552843363
1967-04-01,0.278212092774751,-0.607625213386597,-1.15684023219004,3.61976271029335
1967-07-01,1.93887431592508,-0.228843675265795,0.929588983626521,3.12762942626631
1967-10-01,2.83665996317724,-1.31241202131516,-0.328533832876775,2.98419449840728
1968-01-01,4.02050041318548,-0.267209228837057,-1.86174019389894,1.22987235786519
1968-04-01,4.0112221493499,-1.39771772047437,-0.617562661503899,1.89794982538884
1968-07-01,4.06482171702006,-2.25882769607537,-0.0099164329261082,2.65398903628331
1968-10-01,4.81898768313109,-2.23516751673692,-0.241614078423677,2.00778939962543
1969-01-01,2.95119177313481,-2.36981640435759,-0.0638728940735353,1.42927093042376
1969-04-01,2.98679217441471,-5.12078589320892,1.82256037501162,0.578357422658824
1969-07-01,0.51597275377769,-5.26052173070061,0.00644764659448058,0.431699091281863
1969-10-01,-0.139386595342825,-4.62878489230254,0.62119651591296,0.412371550182513
1970-01-01,-5.23124917898465,-5.29328985661793,1.37353489196805,3.03778182448958
1970-04-01,-5.30267936913472,-2.67811274737612,0.937099063933613,3.78826201408511
1970-07-01,-3.86664646922869,0.375794533032563,-0.209328943582072,4.24045685868124
1970-10-01,-7.04856606183586,-0.66370176517867,1.77016118762212,4.81383039997001
1971-01-01,0.300090680570349,4.81127552270503,-1.45842381600647,2.51573451384979
1971-04-01,1.13426599047797,1.9222550274715,-0.291118978743156,2.16990569849215
1971-07-01,0.466661112932143,-0.187296412974089,-0.63372353450755,1.92973458920653
1971-10-01,1.4689502642499,0.403437398744407,-1.73698641649876,2.23009110624985
1972-01-01,6.37020038023918,1.85271657458168,0.282266396128594,2.13861738902739
1972-04-01,4.14390934176273,-0.453226792680657,-2.08810414263113,2.23331361043566
1972-07-01,2.99926130604195,-0.845628298944062,-0.729728500359494,2.12276007737639
1972-10-01,7.69725749509641,0.223777377792472,-1.63024450284882,1.47395841740511
1973-01-01,7.58221909709176,-1.05008616582837,0.988215158142351,0.412513157339502
1973-04-01,2.6881647684318,-5.01076859441585,3.37749732910204,-1.33370906397717
1973-07-01,1.50740024603997,-5.56919066223776,0.704405601400321,-1.27779408290729
1973-10-01,1.40603415324814,-6.84071353636481,2.19880709625229,-2.37331173385473
1974-01-01,-3.39609379001135,-5.01017840683933,7.11247735204033,-1.03002260950194
1974-04-01,-1.23343302291846,-6.39336846716149,4.33782379454121,-1.333044061913
1974-07-01,-4.67384147876898,-7.86199404687842,3.28958018336926,-2.81835882227171
1974-10-01,-11.5997914929467,-7.10370451897319,0.59066588351246,0.617351947170667
1975-01-01,-16.2758487928175,-2.02717941632961,-2.20728381064706,6.67029747644677
1975-04-01,-6.9811540613031,5.40647249612836,-2.85167957296345,5.4907777187346
1975-07-01,3.43689112004011,4.5168539389945,1.45113003712176,0.142810349043055
1975-10-01,2.37324898203504,1.57634312655152,-0.036761951425922,0.0532857230462887
1976-01-01,5.60499739635185,3.38677623888595,-2.36993591846404,0.621657999609549
1976-04-01,2.68955725814135,0.42946674315025,-1.32455857083799,0.638867120346927
